art,"🎨","art, comix, drawing, painting, sculoture",
design,"📝","自分で買ったもの",
fashion,"🥼","自分で買ったもの",
internet,"💻","人からもらったもの",
music,"🎧","audio, sound, music",
video,"📺","人からもらったもの",
writer,"📚","book, magazine, zine",
